alfa,punishment
0.1,215.66233333333332
0.2,160.20833333333334
0.3,131.13333333333333
0.4,113.42466666666667
0.5,101.69666666666667
0.6,92.911
0.7,86.583
0.8,82.008
0.9,79.799
1.0,78.88
